MATERIA,COMISION,FECHA,INICIO,FINAL
ECONOMIA,TURNO MAÑANA,14/05/2025,08:00:00,09:30:00
ECONOMIA,TURNO MAÑANA,21/05/2025,08:00:00,09:30:00
ECONOMIA,TURNO MAÑANA,28/05/2025,08:00:00,09:30:00
ECONOMIA,TURNO MAÑANA,04/06/2025,08:00:00,09:30:00
ECONOMIA,TURNO MAÑANA,11/06/2025,08:00:00,09:30:00
ECONOMIA,TURNO MAÑANA,18/06/2025,08:00:00,09:30:00
ECONOMIA,TURNO MAÑANA,25/06/2025,08:00:00,09:30:00
ECONOMIA,TURNO MAÑANA,25/06/2025,08:00:00,09:30:00
ECONOMIA,TURNO NOCHE,12/05/2025,20:00:00,22:00:00
ECONOMIA,INTENSIVO,24/05/2025,11:15:00,12:45:00
ECONOMIA,INTENSIVO,07/06/2025,11:15:00,12:45:00
ECONOMIA,INTENSIVO,21/06/2025,11:15:00,12:45:00
ECONOMIA,INTENSIVO,05/07/2025,11:15:00,12:45:00
TEOR&GEST,TURNO MAÑANA,14/05/2025,11:30:00,12:45:00
TEOR&GEST,TURNO MAÑANA,21/05/2025,11:30:00,12:45:00
TEOR&GEST,TURNO MAÑANA,28/05/2025,11:30:00,12:45:00
TEOR&GEST,TURNO MAÑANA,04/06/2025,11:30:00,12:45:00
TEOR&GEST,TURNO MAÑANA,11/06/2025,11:30:00,12:45:00
TEOR&GEST,TURNO MAÑANA,18/06/2025,11:30:00,12:45:00
TEOR&GEST,TURNO MAÑANA,25/06/2025,11:30:00,12:45:00
TEOR&GEST,TURNO MAÑANA,25/06/2025,11:30:00,12:45:00
TEOR&GEST,INTENSIVO,24/05/2025,08:00:00,09:30:00
TEOR&GEST,INTENSIVO,07/06/2025,08:00:00,09:30:00
TEOR&GEST,INTENSIVO,21/06/2025,08:00:00,09:30:00
TEOR&GEST,INTENSIVO,05/07/2025,08:00:00,09:30:00
REG LEGAL,TURNO MAÑANA,14/05/2025,09:30:00,11:15:00
REG LEGAL,TURNO MAÑANA,21/05/2025,09:30:00,11:15:00
REG LEGAL,TURNO MAÑANA,28/05/2025,09:30:00,11:15:00
REG LEGAL,TURNO MAÑANA,04/06/2025,09:30:00,11:15:00
REG LEGAL,TURNO MAÑANA,11/06/2025,09:30:00,11:15:00
REG LEGAL,TURNO MAÑANA,18/06/2025,09:30:00,11:15:00
REG LEGAL,TURNO MAÑANA,25/06/2025,09:30:00,11:15:00
REG LEGAL,TURNO MAÑANA,25/06/2025,09:30:00,11:15:00
REG LEGAL,TURNO NOCHE,15/05/2025,18:00:00,20:55:00
REG LEGAL,TURNO NOCHE,22/05/2025,18:00:00,20:55:00
REG LEGAL,TURNO NOCHE,29/05/2025,18:00:00,20:55:00
REG LEGAL,TURNO NOCHE,05/06/2025,18:00:00,20:55:00
REG LEGAL,TURNO NOCHE,12/06/2025,18:00:00,20:55:00
REG LEGAL,TURNO NOCHE,19/06/2025,18:00:00,20:55:00
REG LEGAL,TURNO NOCHE,26/06/2025,18:00:00,20:55:00
REG LEGAL,TURNO NOCHE,26/06/2025,18:00:00,20:55:00
REG LEGAL,INTENSIVO,24/05/2025,09:30:00,11:00:00
REG LEGAL,INTENSIVO,07/06/2025,09:30:00,11:00:00
REG LEGAL,INTENSIVO,21/06/2025,09:30:00,11:00:00
REG LEGAL,INTENSIVO,05/07/2025,09:30:00,11:00:00
